block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
5127,1716935591,2024-05-28T22:33:11+00:00,1,3577664,240250000,0.014891421436004162
5149,1716936083,2024-05-28T22:41:23+00:00,1,3571107,240250000,0.014864129032258065
5171,1716936527,2024-05-28T22:48:47+00:00,1,3615910,240250000,0.015050613943808532
5193,1716937175,2024-05-28T22:59:35+00:00,1,3701454,240250000,0.015406676378772112
5215,1716937607,2024-05-28T23:06:47+00:00,1,4502213,240250000,0.01873970031217482
5237,1716938051,2024-05-28T23:14:11+00:00,1,3552632,240250000,0.014787229968782518
5259,1716938531,2024-05-28T23:22:11+00:00,1,5096762,240250000,0.021214409989594174
5281,1716938951,2024-05-28T23:29:11+00:00,1,3501750,240250000,0.01457544224765869
5303,1716939359,2024-05-28T23:35:59+00:00,1,231541,240250000,0.0009637502601456816
5325,1716939863,2024-05-28T23:44:23+00:00,1,3561096,240250000,0.014822459937565036
5347,1716940367,2024-05-28T23:52:47+00:00,1,197092,240250000,0.0008203621227887617
5369,1716940847,2024-05-29T00:00:47+00:00,1,3739985,240250000,0.015567055150884496
5391,1716941327,2024-05-29T00:08:47+00:00,1,3590803,240250000,0.01494611030176899
5413,1716941867,2024-05-29T00:17:47+00:00,1,3565609,240250000,0.014841244536940686
5435,1716942347,2024-05-29T00:25:47+00:00,1,3649609,240250000,0.015190880332986472
5457,1716942827,2024-05-29T00:33:47+00:00,1,3898874,240250000,0.016228403746097814
5479,1716943307,2024-05-29T00:41:47+00:00,1,3673564,240250000,0.015290588969823101
5501,1716943763,2024-05-29T00:49:23+00:00,1,3523533,240250000,0.014666110301768991
5523,1716944651,2024-05-29T01:04:11+00:00,1,3761179,240250000,0.015655271592091572
5545,1716945575,2024-05-29T01:19:35+00:00,1,3978561,240250000,0.01656008740894901
5567,1716946091,2024-05-29T01:28:11+00:00,1,3565641,240250000,0.014841377731529657
5589,1716946619,2024-05-29T01:36:59+00:00,1,3545029,240250000,0.01475558376690947
5611,1716947183,2024-05-29T01:46:23+00:00,1,3592198,240250000,0.014951916753381894
5633,1716947711,2024-05-29T01:55:11+00:00,1,3752304,240250000,0.015618330905306971
5655,1716948227,2024-05-29T02:03:47+00:00,1,3611983,240250000,0.015034268470343393
5677,1716948791,2024-05-29T02:13:11+00:00,1,3608307,240250000,0.015018967741935485
5699,1716949271,2024-05-29T02:21:11+00:00,1,3503319,240250000,0.014581972944849116
5721,1716949703,2024-05-29T02:28:23+00:00,1,3573148,240250000,0.014872624349635795
5743,1716950291,2024-05-29T02:38:11+00:00,1,7862413,240250000,0.03272596462018731
5765,1716950831,2024-05-29T02:47:11+00:00,1,3479169,240250000,0.014481452653485952
5787,1716951551,2024-05-29T02:59:11+00:00,1,4072256,240250000,0.016950077003121747
5809,1716952115,2024-05-29T03:08:35+00:00,1,3519551,240250000,0.014649535900104059
5831,1716952583,2024-05-29T03:16:23+00:00,1,3342020,240250000,0.013910593132154007
5853,1716953075,2024-05-29T03:24:35+00:00,1,3562228,240250000,0.014827171696149844
5875,1716953555,2024-05-29T03:32:35+00:00,1,3648892,240250000,0.015187895941727368
5897,1716954011,2024-05-29T03:40:11+00:00,1,3857693,240250000,0.016056994797086367
5919,1716954455,2024-05-29T03:47:35+00:00,1,3517986,240250000,0.014643021852237252
5941,1716954947,2024-05-29T03:55:47+00:00,1,3548488,240250000,0.014769981269510925
5963,1716955511,2024-05-29T04:05:11+00:00,1,661345,240250000,0.0027527367325702393
5985,1716956015,2024-05-29T04:13:35+00:00,1,3481132,240250000,0.01448962330905307
6007,1716956495,2024-05-29T04:21:35+00:00,1,3544449,240250000,0.014753169614984392
6029,1716956999,2024-05-29T04:29:59+00:00,1,3551376,240250000,0.014782002081165454
6051,1716957467,2024-05-29T04:37:47+00:00,1,3578405,240250000,0.014894505723204995
6073,1716957887,2024-05-29T04:44:47+00:00,1,197092,240250000,0.0008203621227887617
6095,1716958319,2024-05-29T04:51:59+00:00,1,4191517,240250000,0.01744648074921956
6117,1716958931,2024-05-29T05:02:11+00:00,1,4198408,240250000,0.017475163371488033
6139,1716959531,2024-05-29T05:12:11+00:00,1,3605744,240250000,0.015008299687825181
6161,1716960035,2024-05-29T05:20:35+00:00,1,3856686,240250000,0.016052803329864723
6183,1716961019,2024-05-29T05:36:59+00:00,1,3673760,240250000,0.015291404786680542
6205,1716961679,2024-05-29T05:47:59+00:00,1,3526248,240250000,0.014677411030176899
6227,1716962351,2024-05-29T05:59:11+00:00,1,8731871,240250000,0.0363449365244537
6249,1716962891,2024-05-29T06:08:11+00:00,1,3900242,240250000,0.016234097814776274
6271,1716963311,2024-05-29T06:15:11+00:00,1,407092,240250000,0.0016944516129032258
6293,1716963815,2024-05-29T06:23:35+00:00,1,3547083,240250000,0.01476413319458897
6315,1716964463,2024-05-29T06:34:23+00:00,1,3677870,240250000,0.015308511966701353
6337,1716965003,2024-05-29T06:43:23+00:00,1,3565238,240250000,0.014839700312174818
6359,1716965651,2024-05-29T06:54:11+00:00,1,4366488,240250000,0.018174767950052028
6381,1716966335,2024-05-29T07:05:35+00:00,1,4011203,240250000,0.016695954214360043
6403,1716966839,2024-05-29T07:13:59+00:00,1,4765287,240250000,0.019834701352757545
6425,1716967319,2024-05-29T07:21:59+00:00,1,5516916,240250000,0.022963229968782518
6447,1716967799,2024-05-29T07:29:59+00:00,1,3785957,240250000,0.015758405827263268
6469,1716968423,2024-05-29T07:40:23+00:00,1,4177835,240250000,0.01738953173777315
6491,1716968891,2024-05-29T07:48:11+00:00,1,9110061,240250000,0.037919088449531735
6513,1716969419,2024-05-29T07:56:59+00:00,1,4202980,240250000,0.017494193548387098
6535,1716969947,2024-05-29T08:05:47+00:00,1,3721497,240250000,0.01549010197710718
6557,1716970739,2024-05-29T08:18:59+00:00,1,4708412,240250000,0.01959796878251821
6579,1716971351,2024-05-29T08:29:11+00:00,1,4982595,240250000,0.020739209157127993
6601,1716971915,2024-05-29T08:38:35+00:00,1,3858460,240250000,0.016060187304890738
6623,1716972419,2024-05-29T08:46:59+00:00,1,3883991,240250000,0.01616645577523413
6645,1716972935,2024-05-29T08:55:35+00:00,1,7878690,240250000,0.03279371488033299
6667,1716973499,2024-05-29T09:04:59+00:00,1,7379687,240250000,0.030716699271592093
6689,1716973943,2024-05-29T09:12:23+00:00,1,4471914,240250000,0.01861358584807492
6711,1716974459,2024-05-29T09:20:59+00:00,1,4074030,240250000,0.01695746097814776
6733,1716975035,2024-05-29T09:30:35+00:00,1,3828136,240250000,0.01593396878251821
6755,1716975683,2024-05-29T09:41:23+00:00,1,9176313,240250000,0.03819485119667013
6777,1716976259,2024-05-29T09:50:59+00:00,1,4640268,240250000,0.019314330905306973
6799,1716976739,2024-05-29T09:58:59+00:00,1,3770949,240250000,0.01569593756503642
6821,1716977399,2024-05-29T10:09:59+00:00,1,11634510,240250000,0.048426680541103016
6843,1716978011,2024-05-29T10:20:11+00:00,1,5054704,240250000,0.02103935067637877
6865,1716978527,2024-05-29T10:28:47+00:00,1,637011,240250000,0.0026514505723204997
6887,1716979151,2024-05-29T10:39:11+00:00,1,7069950,240250000,0.029427471383975026
6909,1716979619,2024-05-29T10:46:59+00:00,1,4076098,240250000,0.01696606867845994
6931,1716980159,2024-05-29T10:55:59+00:00,1,3684277,240250000,0.015335180020811655
