batch_index,post_block,batch_revenue_eth,batch_cost_eth,batch_net_eth,batch_revenue_to_cost
41,24183721,0.0003448654600319104,0.000348594343361344,-3.728883329433625e-06,0.9893030870969459
42,24183731,0.0003157874071493313,0.000285895180580096,2.989222656923525e-05,1.1045565948631326
43,24183741,0.000274213522244672,0.00029767362357056,-2.3460101325888e-05,0.9211885116172308
44,24183751,0.0002805786481577856,0.000290857946864064,-1.0279298706278405e-05,0.9646586974256455
45,24183761,0.00029276688180200963,0.000322837074443392,-3.0070192641382374e-05,0.9068564454896426
46,24183771,0.00029134980865026556,0.000249583070179648,4.176673847061756e-05,1.1673460401002127
47,24183781,0.00024330348021648634,0.000234254523428096,9.048956788390345e-06,1.0386287387580284
48,24183791,0.00021218323427553277,0.00020252544220576,9.657792069772781e-06,1.047686808948975
49,24183801,0.0001891441494813056,0.000183928103411456,5.216046069849593e-06,1.0283591575898603
50,24183811,0.000174592660135744,0.000179287267171904,-4.69460703616e-06,0.9738151676345275
51,24183821,0.00017688472075239682,0.000179351177731264,-2.4664569788671877e-06,0.9862478908136144
52,24183831,0.0001601583492632512,0.000152303345219584,7.855004043667187e-06,1.0515747308921035
53,24183841,0.00014377225011904637,0.000146305465186752,-2.533215067705625e-06,0.9826854378647298
54,24183851,0.000134957153984544,0.00013423503419328,7.22119791264e-07,1.005379518063997
55,24183861,0.00013034389125256957,0.000133490517134016,-3.1466258814464218e-06,0.9764280943021038
56,24183871,0.0001462295657759744,0.00014775628445504,-1.5267186790655938e-06,0.9896673181469303
57,24183881,0.00013937105014163838,0.000138908533370752,4.625167708863906e-07,1.0033296498038167
58,24183891,0.00012145189941023357,0.000115509091065408,5.942808344825578e-06,1.0514488365375536
59,24183901,0.00010814324943355519,9.6411844437952e-05,1.1731404995603187e-05,1.1216801220222812
60,24183911,0.000100699001588992,9.9575251607104e-05,1.123749981888e-06,1.0112854345206377
61,24183921,0.0001079108695403648,0.00011264954017824,-4.738670637875203e-06,0.9579343987522947
62,24183931,0.00012082682684691839,0.000135083129052736,-1.425630220581761e-05,0.8944627481922484
63,24183941,0.000136197111232896,0.000130461401005376,5.73571022752e-06,1.0439648063206346
64,24183951,0.0001319154021430784,0.000128162720457664,3.7526816854144062e-06,1.0292806025965564
65,24183961,0.0001105349264553088,9.5985982269632e-05,1.4548944185676797e-05,1.1515736344168224
66,24183971,9.603878047741439e-05,0.00010174214088896,-5.7033604115456095e-06,0.9439429880115243
67,24183981,9.98007092976192e-05,9.5883526232768e-05,3.917183064851203e-06,1.0408535565884571
68,24183991,9.757099307215359e-05,0.00010190918994048,-4.338196868326406e-06,0.957430758983953
69,24184001,0.0001014842980421312,0.000102356930082368,-8.726320402367968e-07,0.9914746169161719
70,24184011,9.77290959334464e-05,8.9789888265728e-05,7.93920766771839e-06,1.0884198412656754
71,24184021,0.0001034154029964544,9.731318028896e-05,6.1022227074944065e-06,1.0627070525223261
72,24184031,9.637554657618561e-05,9.64666774128e-05,-9.113083661439062e-08,0.9990553127871874
73,24184041,0.00010675647300776317,0.000118037562217408,-1.1281089209644828e-05,0.9044279719292516
74,24184051,0.00011390381341336319,0.000116715015591104,-2.8112021777408125e-06,0.9759139630534815
75,24184061,0.0001100932575646016,0.000115883316971264,-5.790059406662406e-06,0.9500354360058731
76,24184071,0.00011300600202297602,0.000103110224854912,9.895777168064015e-06,1.0959728017467572
77,24184081,0.00011888295936677758,0.000118112529615296,7.704297514815781e-07,1.0065228452391202
78,24184091,0.0001125421934814976,0.000109574314635456,2.9678788460415937e-06,1.0270855341958147
79,24184101,0.00010979441765849599,0.000114527012318016,-4.732594659520016e-06,0.958677044273375
80,24184111,0.000116241988228352,9.935500358688e-05,1.6886984641472e-05,1.1699661218038742
81,24184121,0.0001245514994817408,0.000137947490525056,-1.3395991043315204e-05,0.9028906506937723
82,24184131,0.0001226622686840128,0.00011526001888704,7.402249796972797e-06,1.0642221810168826
83,24184141,0.0001047038526434944,0.000100706755033152,3.997097610342406e-06,1.0396904617672031
84,24184151,9.449599442496002e-05,8.9565988580992e-05,4.930005843968016e-06,1.0550432806255463
85,24184161,8.879107779217919e-05,8.6187032570368e-05,2.6040452218111874e-06,1.0302138865227213
86,24184171,8.4501558716704e-05,8.194419830912e-05,2.557360407584e-06,1.0312085597315481
87,24184181,8.76929442410112e-05,8.7768858297344e-05,-7.591405633279688e-08,0.9991350684308139
88,24184191,8.967034616049919e-05,9.3286534784256e-05,-3.6161886237568126e-06,0.9612356849558193
89,24184201,9.369849212183038e-05,9.5809884008128e-05,-2.1113918862976095e-06,0.977962692386534
90,24184211,0.0001114088946561984,0.000113988549483328,-2.5796548271296094e-06,0.9773691757740376
91,24184221,0.0001150339978406272,0.000128132098996992,-1.3098101156364796e-05,0.8977765816770684
92,24184231,0.0001273801727683968,0.000134003216917824,-6.623044149427187e-06,0.9505754839192503
93,24184241,0.0001225477155004288,0.00011475823260256,7.789482897868796e-06,1.067877334124219
94,24184251,0.00011191735476804478,0.00011157885820096,3.3849656708478123e-07,1.0030336980727579
