block_number,timestamp_utc,gas_used,gas_limit,gas_used_ratio
24398692,2026-02-06T15:30:59+00:00,27171832,60000000,0.45286386666666667
24398693,2026-02-06T15:31:11+00:00,25335777,59941408,0.4226757069169947
24398694,2026-02-06T15:31:23+00:00,25466066,59999943,0.42443483654642805
24398695,2026-02-06T15:31:35+00:00,28556932,59941351,0.4764145539529131
24398696,2026-02-06T15:31:47+00:00,4036083,59999886,0.06726817780953784
24398697,2026-02-06T15:31:59+00:00,6756435,60000000,0.11260725
24398698,2026-02-06T15:32:11+00:00,58730761,60000000,0.9788460166666667
24398699,2026-02-06T15:32:23+00:00,59987796,60000000,0.9997966
24398700,2026-02-06T15:32:35+00:00,20918671,60000000,0.3486445166666667
24398701,2026-02-06T15:32:47+00:00,38573682,60000000,0.6428947
24398702,2026-02-06T15:32:59+00:00,21530904,60000000,0.3588484
24398703,2026-02-06T15:33:11+00:00,41696164,60000000,0.6949360666666666
24398704,2026-02-06T15:33:23+00:00,29911030,60000000,0.4985171666666667
24398705,2026-02-06T15:33:35+00:00,164414,60000000,0.0027402333333333335
24398706,2026-02-06T15:33:47+00:00,20317122,60000000,0.3386187
24398707,2026-02-06T15:33:59+00:00,52093932,59941408,0.8690808864549862
24398708,2026-02-06T15:34:11+00:00,28518144,59999943,0.47530285153770896
24398709,2026-02-06T15:34:23+00:00,40865783,59941351,0.6817627951028331
24398710,2026-02-06T15:34:35+00:00,22773319,59999886,0.3795560378231385
24398711,2026-02-06T15:34:47+00:00,17880044,60000000,0.2980007333333333
24398712,2026-02-06T15:34:59+00:00,45733768,59941408,0.7629745367342723
24398713,2026-02-06T15:35:11+00:00,27541800,59999943,0.45903043607891425
24398714,2026-02-06T15:35:23+00:00,7355311,60000000,0.12258851666666666
24398715,2026-02-06T15:35:35+00:00,36290062,60000000,0.6048343666666667
24398716,2026-02-06T15:35:47+00:00,37137523,59941408,0.6195637413121827
24398717,2026-02-06T15:35:59+00:00,32247516,59999943,0.537459110586155
24398718,2026-02-06T15:36:11+00:00,28572024,60000000,0.4762004
24398719,2026-02-06T15:36:23+00:00,28745145,60000000,0.47908575
24398720,2026-02-06T15:36:35+00:00,31505967,60000000,0.52509945
24398721,2026-02-06T15:36:47+00:00,23422070,60000000,0.39036783333333336
24398722,2026-02-06T15:36:59+00:00,29507443,60000000,0.4917907166666667
24398723,2026-02-06T15:37:11+00:00,34542539,60000000,0.5757089833333333
24398724,2026-02-06T15:37:23+00:00,9911177,60000000,0.16518628333333332
24398725,2026-02-06T15:37:35+00:00,40815246,60000000,0.6802541
24398726,2026-02-06T15:37:47+00:00,32042315,60000000,0.5340385833333333
24398727,2026-02-06T15:37:59+00:00,30489213,60000000,0.50815355
24398728,2026-02-06T15:38:11+00:00,26637141,59941408,0.4443863080426806
24398729,2026-02-06T15:38:23+00:00,28982508,59882873,0.48398659830499446
24398730,2026-02-06T15:38:35+00:00,32810982,59941351,0.5473847594793118
24398731,2026-02-06T15:38:47+00:00,33031563,59999886,0.5505270960014824
24398732,2026-02-06T15:38:59+00:00,28239274,60000000,0.47065456666666666
24398733,2026-02-06T15:39:11+00:00,10226355,60000000,0.17043925
24398734,2026-02-06T15:39:23+00:00,39739627,60000000,0.6623271166666667
24398735,2026-02-06T15:39:35+00:00,59991503,60000000,0.9998583833333333
24398736,2026-02-06T15:39:47+00:00,31620713,60000000,0.5270118833333334
24398737,2026-02-06T15:39:59+00:00,31353403,60000000,0.5225567166666667
24398738,2026-02-06T15:40:11+00:00,20705276,60000000,0.3450879333333333
24398739,2026-02-06T15:40:23+00:00,20055932,60000000,0.3342655333333333
24398740,2026-02-06T15:40:35+00:00,42042039,60000000,0.70070065
24398741,2026-02-06T15:40:47+00:00,30485526,60000000,0.5080921
24398742,2026-02-06T15:40:59+00:00,28908976,60000000,0.48181626666666666
24398743,2026-02-06T15:41:11+00:00,9625451,60000000,0.16042418333333333
24398744,2026-02-06T15:41:23+00:00,31868697,60000000,0.53114495
24398745,2026-02-06T15:41:35+00:00,33117618,60000000,0.5519603
24398746,2026-02-06T15:41:47+00:00,35381427,60000000,0.58969045
24398747,2026-02-06T15:41:59+00:00,31113160,60000000,0.5185526666666667
24398748,2026-02-06T15:42:11+00:00,38696360,60000000,0.6449393333333333
24398749,2026-02-06T15:42:23+00:00,20560247,60000000,0.34267078333333334
24398750,2026-02-06T15:42:35+00:00,20888816,60000000,0.34814693333333335
24398751,2026-02-06T15:42:47+00:00,29117792,60000000,0.48529653333333334
24398752,2026-02-06T15:42:59+00:00,52545525,60000000,0.87575875
24398753,2026-02-06T15:43:11+00:00,22479567,60000000,0.37465945
24398754,2026-02-06T15:43:23+00:00,14032792,59941408,0.23410848140237214
24398755,2026-02-06T15:43:35+00:00,55382493,59999943,0.9230424268903056
24398756,2026-02-06T15:43:47+00:00,26831198,60000000,0.44718663333333336
24398757,2026-02-06T15:43:59+00:00,46539487,60000000,0.7756581166666666
24398758,2026-02-06T15:44:11+00:00,30248678,60000000,0.5041446333333334
24398759,2026-02-06T15:44:23+00:00,27924259,59941408,0.4658592437468269
24398760,2026-02-06T15:44:35+00:00,16515104,59999943,0.27525199482272844
24398761,2026-02-06T15:44:47+00:00,23670539,60000000,0.39450898333333334
24398762,2026-02-06T15:44:59+00:00,34484856,60000000,0.5747476
24398763,2026-02-06T15:45:11+00:00,27648968,60000000,0.4608161333333333
24398764,2026-02-06T15:45:23+00:00,17694548,60000000,0.29490913333333335
24398765,2026-02-06T15:45:35+00:00,32397986,60000000,0.5399664333333334
24398766,2026-02-06T15:45:47+00:00,24475760,60000000,0.4079293333333333
24398767,2026-02-06T15:45:59+00:00,42812631,60000000,0.71354385
24398768,2026-02-06T15:46:11+00:00,13500854,60000000,0.22501423333333334
24398769,2026-02-06T15:46:23+00:00,54441331,60000000,0.9073555166666667
24398770,2026-02-06T15:46:35+00:00,13429549,60000000,0.22382581666666668
24398771,2026-02-06T15:46:47+00:00,26978029,60000000,0.4496338166666667
24398772,2026-02-06T15:46:59+00:00,46956997,60000000,0.7826166166666667
24398773,2026-02-06T15:47:11+00:00,59715147,60000000,0.99525245
24398774,2026-02-06T15:47:23+00:00,17576646,60000000,0.2929441
24398775,2026-02-06T15:47:35+00:00,37923999,60000000,0.63206665
24398776,2026-02-06T15:47:47+00:00,34809700,60000000,0.5801616666666667
24398777,2026-02-06T15:47:59+00:00,38233196,59941408,0.6378428080968669
24398778,2026-02-06T15:48:11+00:00,14901161,59999943,0.24835291926860664
24398779,2026-02-06T15:48:23+00:00,24987049,60000000,0.41645081666666667
24398780,2026-02-06T15:48:35+00:00,42722692,60000000,0.7120448666666667
24398781,2026-02-06T15:48:47+00:00,3572518,60000000,0.05954196666666667
24398782,2026-02-06T15:48:59+00:00,51065801,59941408,0.8519286200284117
24398783,2026-02-06T15:49:11+00:00,27810991,59999943,0.46351695700777584
24398784,2026-02-06T15:49:23+00:00,18879650,60000000,0.31466083333333333
24398785,2026-02-06T15:49:35+00:00,42688956,60000000,0.7114826
24398786,2026-02-06T15:49:47+00:00,19906682,60000000,0.33177803333333333
24398787,2026-02-06T15:49:59+00:00,35182283,60000000,0.5863713833333334
24398788,2026-02-06T15:50:11+00:00,19693719,59941408,0.3285494895281739
24398789,2026-02-06T15:50:23+00:00,37621687,59999943,0.6270287123439434
24398790,2026-02-06T15:50:35+00:00,23354130,60000000,0.3892355
24398791,2026-02-06T15:50:47+00:00,29782396,60000000,0.49637326666666665
24398792,2026-02-06T15:50:59+00:00,6590213,59941408,0.1099442475558799
24398793,2026-02-06T15:51:11+00:00,59148151,59999943,0.9858034531799472
24398794,2026-02-06T15:51:23+00:00,31795126,60000000,0.5299187666666667
24398795,2026-02-06T15:51:35+00:00,49865424,60000000,0.8310904
24398796,2026-02-06T15:51:47+00:00,23248583,60000000,0.38747638333333334
24398797,2026-02-06T15:51:59+00:00,29361968,60000000,0.48936613333333334
24398798,2026-02-06T15:52:11+00:00,32471843,60000000,0.5411973833333333
24398799,2026-02-06T15:52:23+00:00,31935999,60000000,0.53226665
24398800,2026-02-06T15:52:35+00:00,10442776,60000000,0.17404626666666667
24398801,2026-02-06T15:52:47+00:00,20396097,60000000,0.33993495
24398802,2026-02-06T15:52:59+00:00,25173433,60000000,0.4195572166666667
24398803,2026-02-06T15:53:11+00:00,59813352,60000000,0.9968892
24398804,2026-02-06T15:53:23+00:00,36835279,60000000,0.6139213166666667
24398805,2026-02-06T15:53:35+00:00,9536112,60000000,0.1589352
24398806,2026-02-06T15:53:47+00:00,30982693,60000000,0.5163782166666666
24398807,2026-02-06T15:53:59+00:00,11843193,59941408,0.1975794929608594
24398808,2026-02-06T15:54:11+00:00,48450619,59999943,0.8075110838021963
24398809,2026-02-06T15:54:23+00:00,53350844,60000000,0.8891807333333334
24398810,2026-02-06T15:54:35+00:00,25041768,59941408,0.4177707670797456
24398811,2026-02-06T15:54:47+00:00,8572990,59999943,0.14288330240580396
24398812,2026-02-06T15:54:59+00:00,46305984,59941351,0.7725215269172028
24398813,2026-02-06T15:55:11+00:00,31773005,59999886,0.5295510894804033
24398814,2026-02-06T15:55:23+00:00,33693169,60000000,0.5615528166666667
24398815,2026-02-06T15:55:35+00:00,17158939,60000000,0.2859823166666667
24398816,2026-02-06T15:55:47+00:00,24549815,60000000,0.40916358333333336
24398817,2026-02-06T15:55:59+00:00,22856934,60000000,0.3809489
24398818,2026-02-06T15:56:11+00:00,25854389,60000000,0.4309064833333333
24398819,2026-02-06T15:56:23+00:00,54009224,60000000,0.9001537333333334
24398820,2026-02-06T15:56:35+00:00,18909851,60000000,0.31516418333333335
24398821,2026-02-06T15:56:47+00:00,33273525,59941408,0.5551008244584444
24398822,2026-02-06T15:56:59+00:00,19295907,59999943,0.3215987555188177
24398823,2026-02-06T15:57:11+00:00,34377362,59941351,0.5735166362866929
24398824,2026-02-06T15:57:23+00:00,11352986,59999886,0.18921679284523973
24398825,2026-02-06T15:57:35+00:00,25054490,59941294,0.4179838026186088
24398826,2026-02-06T15:57:47+00:00,50574935,59999829,0.8429179856495924
24398827,2026-02-06T15:57:59+00:00,11181333,60000000,0.18635555
24398828,2026-02-06T15:58:11+00:00,48878763,60000000,0.81464605
24398829,2026-02-06T15:58:23+00:00,35084098,60000000,0.5847349666666667
24398830,2026-02-06T15:58:35+00:00,26091479,60000000,0.4348579833333333
24398831,2026-02-06T15:58:47+00:00,28979886,60000000,0.4829981
24398832,2026-02-06T15:58:59+00:00,32546512,60000000,0.5424418666666667
24398833,2026-02-06T15:59:11+00:00,20974883,60000000,0.34958138333333333
24398834,2026-02-06T15:59:23+00:00,14349481,60000000,0.23915801666666667
24398835,2026-02-06T15:59:35+00:00,53025962,59941408,0.8846299039221768
24398836,2026-02-06T15:59:47+00:00,28545248,59882873,0.4766846774369025
24398837,2026-02-06T15:59:59+00:00,27558928,59941351,0.4597648791733106
24398838,2026-02-06T16:00:11+00:00,17428329,59999886,0.2904727018981336
24398839,2026-02-06T16:00:23+00:00,14583640,59941294,0.24329871824255245
24398840,2026-02-06T16:00:35+00:00,22423502,59999829,0.37372609845271393
24398841,2026-02-06T16:00:47+00:00,59980193,60000000,0.9996698833333333
24398842,2026-02-06T16:00:59+00:00,44890965,60000000,0.74818275
