block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
2034577,1706990579,2024-02-03T20:02:59+00:00,7,349487,61000000,0.005729295081967213
2034652,1706990879,2024-02-03T20:07:59+00:00,7,1252776,61000000,0.020537311475409836
2034727,1706991179,2024-02-03T20:12:59+00:00,7,134468,61000000,0.0022043934426229507
2034802,1706991479,2024-02-03T20:17:59+00:00,7,468381,61000000,0.0076783770491803275
2034877,1706991779,2024-02-03T20:22:59+00:00,7,872754,61000000,0.01430744262295082
2034952,1706992079,2024-02-03T20:27:59+00:00,7,341973,61000000,0.005606114754098361
2035027,1706992379,2024-02-03T20:32:59+00:00,7,175415,61000000,0.002875655737704918
2035102,1706992682,2024-02-03T20:38:02+00:00,7,93002,61000000,0.0015246229508196721
2035177,1706992982,2024-02-03T20:43:02+00:00,7,878690,61000000,0.014404754098360655
2035252,1706993282,2024-02-03T20:48:02+00:00,7,701684,61000000,0.011503016393442624
2035327,1706993582,2024-02-03T20:53:02+00:00,7,278145,61000000,0.004559754098360656
2035402,1706993882,2024-02-03T20:58:02+00:00,7,678957,61000000,0.01113044262295082
2035477,1706994182,2024-02-03T21:03:02+00:00,7,1429354,61000000,0.023432032786885246
2035552,1706994483,2024-02-03T21:08:03+00:00,7,318144,61000000,0.005215475409836066
2035627,1706994783,2024-02-03T21:13:03+00:00,7,533598,61000000,0.008747508196721312
2035702,1706995083,2024-02-03T21:18:03+00:00,7,704599,61000000,0.011550803278688524
2035777,1706995383,2024-02-03T21:23:03+00:00,7,1507781,61000000,0.02471772131147541
2035852,1706995683,2024-02-03T21:28:03+00:00,7,572616,61000000,0.009387147540983607
2035927,1706995983,2024-02-03T21:33:03+00:00,7,637625,61000000,0.010452868852459017
2036002,1706996283,2024-02-03T21:38:03+00:00,7,666125,61000000,0.010920081967213115
2036077,1706996583,2024-02-03T21:43:03+00:00,7,1095114,61000000,0.017952688524590164
2036152,1706996883,2024-02-03T21:48:03+00:00,7,1155641,61000000,0.018944934426229507
2036227,1706997184,2024-02-03T21:53:04+00:00,7,685593,61000000,0.01123922950819672
2036302,1706997484,2024-02-03T21:58:04+00:00,7,282374,61000000,0.0046290819672131145
2036377,1706997784,2024-02-03T22:03:04+00:00,7,402905,61000000,0.006605
2036452,1706998084,2024-02-03T22:08:04+00:00,7,756772,61000000,0.012406098360655737
2036527,1706998384,2024-02-03T22:13:04+00:00,7,518379,61000000,0.008498016393442623
2036602,1706998684,2024-02-03T22:18:04+00:00,7,498531,61000000,0.008172639344262295
2036677,1706998984,2024-02-03T22:23:04+00:00,7,109234,61000000,0.0017907213114754098
2036752,1706999284,2024-02-03T22:28:04+00:00,7,378170,61000000,0.006199508196721311
2036827,1706999584,2024-02-03T22:33:04+00:00,7,166588,61000000,0.002730950819672131
2036902,1706999884,2024-02-03T22:38:04+00:00,7,695277,61000000,0.011397983606557378
2036977,1707000184,2024-02-03T22:43:04+00:00,7,949277,61000000,0.015561918032786885
2037052,1707000484,2024-02-03T22:48:04+00:00,7,362047,61000000,0.005935196721311475
2037127,1707000784,2024-02-03T22:53:04+00:00,7,1478740,61000000,0.024241639344262295
2037202,1707001084,2024-02-03T22:58:04+00:00,7,222702,61000000,0.0036508524590163935
2037277,1707001384,2024-02-03T23:03:04+00:00,7,568253,61000000,0.009315622950819672
2037352,1707001684,2024-02-03T23:08:04+00:00,7,640637,61000000,0.010502245901639345
2037427,1707001986,2024-02-03T23:13:06+00:00,7,449187,61000000,0.00736372131147541
2037502,1707002286,2024-02-03T23:18:06+00:00,7,249366,61000000,0.004087967213114754
2037577,1707002586,2024-02-03T23:23:06+00:00,7,231844,61000000,0.0038007213114754097
2037652,1707002889,2024-02-03T23:28:09+00:00,7,492907,61000000,0.00808044262295082
2037727,1707003189,2024-02-03T23:33:09+00:00,7,292586,61000000,0.004796491803278688
2037802,1707003489,2024-02-03T23:38:09+00:00,7,449358,61000000,0.007366524590163934
2037877,1707003789,2024-02-03T23:43:09+00:00,7,424876,61000000,0.006965180327868852
2037952,1707004089,2024-02-03T23:48:09+00:00,7,413833,61000000,0.006784147540983607
2038027,1707004389,2024-02-03T23:53:09+00:00,7,405250,61000000,0.00664344262295082
2038102,1707004690,2024-02-03T23:58:10+00:00,7,421408,61000000,0.006908327868852459
2038177,1707004990,2024-02-04T00:03:10+00:00,7,254417,61000000,0.0041707704918032785
2038252,1707005290,2024-02-04T00:08:10+00:00,7,173724,61000000,0.002847934426229508
2038327,1707005590,2024-02-04T00:13:10+00:00,7,1166028,61000000,0.019115213114754098
2038402,1707005890,2024-02-04T00:18:10+00:00,7,815681,61000000,0.013371819672131148
2038477,1707006190,2024-02-04T00:23:10+00:00,7,440468,61000000,0.007220786885245902
2038552,1707006490,2024-02-04T00:28:10+00:00,7,671651,61000000,0.011010672131147542
2038627,1707006790,2024-02-04T00:33:10+00:00,7,707445,61000000,0.011597459016393443
2038702,1707007090,2024-02-04T00:38:10+00:00,7,405087,61000000,0.0066407704918032785
2038777,1707007390,2024-02-04T00:43:10+00:00,7,479576,61000000,0.007861901639344263
2038852,1707007690,2024-02-04T00:48:10+00:00,7,1088631,61000000,0.017846409836065575
2038927,1707007990,2024-02-04T00:53:10+00:00,7,804811,61000000,0.013193622950819672
2039002,1707008290,2024-02-04T00:58:10+00:00,7,1140467,61000000,0.018696180327868853
2039077,1707008590,2024-02-04T01:03:10+00:00,7,343276,61000000,0.005627475409836066
